nquest;area3;b19b;b19a;b16;ncomp;sex;studio;staciv;cleta5;eta;cfred
670711;1;2;2;2;3;2;5;1;4;61;1
670762;3;2;2;2;1;2;2;4;5;75;1
670853;3;2;2;2;3;1;1;4;5;89;1
670857;3;2;2;2;5;1;3;1;3;53;1
671152;1;2;2;2;4;2;5;1;3;54;1
671153;1;2;2;2;2;1;5;1;5;72;1
671206;2;2;2;2;4;1;7;1;4;57;1
671362;2;2;2;2;1;2;7;3;5;67;1
671480;1;2;2;2;4;1;3;1;3;53;1
671520;2;2;2;2;3;1;3;1;4;58;1
671698;2;2;2;2;3;1;3;1;3;53;1
671841;2;2;2;1;3;1;7;1;4;57;1
671893;1;2;2;1;4;1;5;1;1;22;1
672417;1;2;2;1;3;1;5;2;3;48;1
672486;3;2;2;2;2;1;2;1;5;79;1
672541;1;2;2;2;2;1;4;3;5;84;1
672620;2;2;2;2;1;2;3;4;5;66;1
672679;1;2;2;2;2;1;3;1;5;76;1
673050;1;2;2;2;2;1;5;1;5;78;1
673145;1;2;2;2;4;1;4;1;3;52;1
673451;2;2;2;2;2;1;5;1;5;70;1
673452;2;2;2;2;3;1;3;3;4;55;1
673467;3;2;2;2;3;1;3;1;4;56;1
673540;1;2;2;2;2;2;5;2;1;30;1
673661;3;2;2;2;2;1;8;1;5;88;1
673816;1;2;2;2;2;1;2;1;5;79;1
673847;3;2;2;2;2;1;1;1;5;79;1
673882;1;2;2;1;4;1;3;1;3;53;1
673963;1;2;2;2;1;2;5;4;5;96;1
674105;1;2;2;1;2;1;3;1;4;62;1
674106;1;2;2;1;1;2;5;3;4;59;1
674196;1;2;2;2;2;1;4;1;5;77;1
674229;3;2;2;2;3;2;5;1;5;66;1
674239;3;2;2;2;2;1;5;1;4;63;1
674281;3;2;2;2;2;1;2;1;5;68;1
674283;3;2;2;2;1;2;2;2;5;79;1
674287;3;2;2;2;2;1;3;1;5;68;1
674379;3;2;2;2;5;1;3;1;3;50;1
674572;3;2;2;2;1;2;2;4;5;75;1
674842;1;2;2;2;4;1;3;1;3;52;1
674868;1;2;2;2;5;1;3;1;4;55;1
674968;3;2;2;2;3;1;3;1;5;83;1
674970;3;2;2;2;3;1;2;1;5;69;1
674974;3;2;2;2;2;1;2;1;5;69;1
675086;2;2;2;2;1;2;5;4;5;72;1
675265;1;2;2;2;3;1;3;1;5;70;1
675280;2;2;2;2;4;1;5;1;4;58;1
675334;3;2;2;2;4;1;5;1;4;59;1
675667;3;2;2;2;1;2;2;4;5;79;1
675739;1;2;2;2;1;2;5;4;5;73;1
675801;2;2;2;2;4;2;4;2;1;25;1
676304;3;2;2;2;2;2;1;4;5;88;1
676374;2;2;2;2;1;2;3;4;5;79;1
676521;2;2;2;2;3;1;3;1;5;88;1
676557;2;2;2;2;1;2;2;4;5;84;1
676580;1;2;2;2;1;2;2;4;5;96;1
676807;3;2;2;2;1;2;3;4;4;62;1
676844;3;2;2;2;3;2;2;4;5;71;1
676851;3;2;2;2;2;1;2;1;5;70;1
676941;3;2;2;2;1;1;2;2;5;73;1
677112;2;2;2;1;1;2;7;3;5;66;1
677167;1;2;2;2;1;2;7;4;5;72;1
677195;2;2;2;2;2;1;7;1;5;74;1
677474;3;2;2;2;2;2;5;1;5;81;1
677475;3;2;2;2;2;2;3;1;5;73;1
677476;3;2;2;2;1;2;2;4;5;84;1
677489;3;2;2;1;1;2;5;4;5;67;1
677946;1;2;2;2;2;1;7;1;5;87;1
